created,id
2023-08-22T01:11:41+09:00,davinci-002
2023-08-22T01:16:55+09:00,babbage-002
2023-08-25T03:23:47+09:00,gpt-3.5-turbo-instruct
2023-09-08T06:34:32+09:00,gpt-3.5-turbo-instruct-0914
2023-11-01T05:46:29+09:00,dall-e-3
2023-11-01T09:22:57+09:00,dall-e-2
2023-11-03T05:33:26+09:00,gpt-4-1106-preview
2023-11-03T06:15:48+09:00,gpt-3.5-turbo-1106
2023-11-04T06:13:35+09:00,tts-1-hd
2023-11-04T08:14:01+09:00,tts-1-1106
2023-11-04T08:18:53+09:00,tts-1-hd-1106
2024-01-23T03:43:17+09:00,text-embedding-3-small
2024-01-23T04:53:00+09:00,text-embedding-3-large
2024-01-24T04:20:12+09:00,gpt-4-0125-preview
2024-01-24T04:22:57+09:00,gpt-4-turbo-preview
2024-01-24T07:19:18+09:00,gpt-3.5-turbo-0125
2024-04-06T08:57:21+09:00,gpt-4-turbo
2024-04-09T03:41:17+09:00,gpt-4-turbo-2024-04-09
2024-05-11T03:50:49+09:00,gpt-4o
2024-05-11T04:08:52+09:00,gpt-4o-2024-05-13
2024-07-17T08:31:57+09:00,gpt-4o-mini-2024-07-18
2024-07-17T08:32:21+09:00,gpt-4o-mini
2024-08-05T08:38:39+09:00,gpt-4o-2024-08-06
2024-08-13T11:12:11+09:00,chatgpt-4o-latest
2024-09-28T03:07:23+09:00,gpt-4o-audio-preview
2024-09-30T10:33:18+09:00,gpt-4o-realtime-preview
2024-11-16T01:47:45+09:00,omni-moderation-latest
2024-11-28T04:07:46+09:00,omni-moderation-2024-09-26
2024-12-12T04:30:30+09:00,gpt-4o-realtime-preview-2024-12-17
2024-12-13T05:10:39+09:00,gpt-4o-audio-preview-2024-12-17
2024-12-14T02:56:41+09:00,gpt-4o-mini-realtime-preview-2024-12-17
2024-12-14T03:52:00+09:00,gpt-4o-mini-audio-preview-2024-12-17
2024-12-16T14:29:36+09:00,o1-2024-12-17
2024-12-17T04:03:36+09:00,o1
2024-12-17T07:16:20+09:00,gpt-4o-mini-realtime-preview
2024-12-17T07:17:04+09:00,gpt-4o-mini-audio-preview
2024-12-20T09:47:57+09:00,computer-use-preview
2025-01-18T05:39:43+09:00,o3-mini
2025-01-28T05:36:40+09:00,o3-mini-2025-01-31
2025-02-12T12:39:03+09:00,gpt-4o-2024-11-20
2025-03-08T04:50:21+09:00,computer-use-preview-2025-03-11
2025-03-08T07:56:10+09:00,gpt-4o-search-preview-2025-03-11
2025-03-08T08:05:20+09:00,gpt-4o-search-preview
2025-03-08T08:40:58+09:00,gpt-4o-mini-search-preview-2025-03-11
2025-03-08T08:46:01+09:00,gpt-4o-mini-search-preview
2025-03-16T04:54:23+09:00,gpt-4o-transcribe
2025-03-16T04:56:36+09:00,gpt-4o-mini-transcribe
2025-03-18T07:45:04+09:00,o1-pro-2025-03-19
